生徒数,訪問数,説明会,電話,A資料,B資料,C資料,販促品,エリア,販売数
29,13,1,0,2,2,3,1,東,0
0,4,1,0,1,1,1,1,東,0
8,4,1,0,2,3,3,1,東,2
14,13,1,0,2,3,3,2,東,3
8,13,1,0,2,2,3,1,東,6
14,14,1,0,3,3,3,1,東,15
16,11,1,0,1,1,3,1,東,23
5,16,1,0,2,2,2,1,東,13
3,1,1,0,2,9,9,1,東,0
14,10,1,0,2,9,2,0,東,3
12,19,1,0,1,1,1,1,東,9
5,6,1,0,9,9,9,0,東,5
3,14,1,0,1,1,1,3,東,2
4,8,1,0,1,1,1,3,東,2
30,16,1,0,1,1,3,2,東,10
6,10,1,0,2,9,9,1,東,0
3,1,1,0,2,9,9,1,東,0
6,9,1,0,2,2,2,1,東,2
6,8,1,0,2,2,2,0,東,0
8,13,1,0,3,3,3,1,東,7
5,15,1,0,3,3,3,1,東,5
5,16,1,0,3,3,3,1,東,1
7,15,1,0,3,3,3,1,東,0
14,16,1,0,1,1,1,3,東,7
13,18,1,0,1,1,1,3,東,7
15,22,1,0,1,1,2,1,東,6
5,12,1,0,1,1,1,3,東,7
7,13,1,0,1,1,1,3,東,5
6,13,1,0,1,1,1,3,東,5
14,13,1,0,1,1,1,3,東,5
6,6,1,0,3,1,2,3,東,0
4,16,1,0,3,1,2,3,東,5
4,8,1,0,3,1,2,2,東,0
1,5,1,0,1,1,1,1,東,0
9,18,1,0,1,1,1,1,東,4
2,19,1,0,3,3,3,0,東,0
5,16,1,0,3,3,3,3,東,5
6,11,1,0,2,2,9,2,東,0
6,11,1,0,2,2,9,2,東,1
7,17,1,0,2,2,9,2,東,0
5,10,1,0,2,2,2,1,東,5
6,9,1,0,1,1,1,1,東,4
1,8,1,0,1,1,1,1,東,4
1,9,1,0,3,3,3,0,東,0
5,4,1,0,3,2,3,1,東,2
11,7,1,0,1,1,2,1,東,4
14,6,1,0,1,1,2,1,東,7
5,13,1,0,1,1,3,2,東,3
9,17,1,0,3,3,3,0,東,0
4,10,1,0,1,3,3,2,東,0
12,9,1,0,2,2,2,2,東,7
6,11,1,0,2,2,2,1,東,2
13,25,1,0,2,9,9,2,東,6
15,21,1,0,2,2,2,2,東,17
1,11,1,0,2,9,9,1,東,0
15,4,1,0,1,1,2,1,東,0
2,10,1,0,1,1,2,1,東,6
1,6,1,0,1,1,9,1,東,0
3,3,1,0,2,2,2,1,東,0
5,4,1,0,2,9,9,1,東,0
5,9,1,0,9,9,9,2,東,0
6,6,1,0,1,1,2,1,東,2
28,4,1,0,1,1,9,1,東,6
5,5,1,0,1,9,9,1,東,1
14,10,1,0,2,2,2,2,東,9
6,2,1,0,9,9,9,0,東,1
60,21,1,0,1,1,1,2,東,0
3,20,1,0,1,1,1,2,東,0
3,11,1,0,1,1,1,1,東,0
7,12,1,0,2,2,2,1,東,0
0,9,1,0,2,2,2,1,東,7
16,8,1,0,2,2,2,1,東,0
0,9,1,0,2,2,2,1,東,0
8,2,1,0,3,3,1,1,東,0
13,16,1,0,1,1,1,3,東,0
6,9,1,0,9,9,9,0,東,0
5,13,1,0,1,1,1,3,東,0
6,6,1,0,2,1,1,1,東,0
2,7,1,0,2,1,1,1,東,0
9,7,1,0,1,1,3,2,東,0
3,22,1,0,2,9,9,2,東,3
1,3,1,0,1,1,1,1,東,0
0,3,1,0,9,9,9,0,東,0
0,2,1,0,9,9,9,0,東,0
6,9,1,0,9,9,9,0,東,7
4,16,1,0,9,9,9,1,東,0
2,10,1,0,2,2,2,3,東,0
1,9,1,0,2,2,2,1,東,2
4,6,1,0,2,2,2,1,東,5
3,12,1,0,3,2,9,2,東,4
4,6,1,0,3,3,3,2,東,0
30,10,1,0,2,2,2,1,東,4
15,11,1,0,2,2,2,1,東,2
12,6,1,0,2,2,3,1,東,0
6,6,1,0,2,1,3,1,東,3
3,3,1,0,2,2,2,1,東,0
15,7,1,0,1,1,2,1,東,12
15,4,1,0,1,1,2,1,東,11
14,10,1,0,3,3,3,2,東,0
6,4,1,0,1,1,1,2,東,0
10,15,1,0,1,1,1,2,東,3
1,3,1,0,1,1,2,2,東,1
4,6,1,0,1,1,2,2,東,0
2,4,1,0,1,1,1,2,東,0
3,5,1,0,1,1,2,2,東,0
3,7,1,0,1,1,2,2,東,0
1,2,1,0,1,1,2,2,東,0
3,13,1,0,1,1,2,2,東,0
58,4,1,0,1,1,9,1,東,0
6,7,1,0,1,1,3,1,東,0
29,11,1,0,2,2,9,2,東,1
8,7,1,0,2,1,9,2,東,5
6,8,1,0,2,1,2,2,東,6
4,7,1,0,3,3,3,1,東,0
5,4,1,0,1,9,9,0,東,0
4,3,1,0,1,9,9,0,東,0
5,10,1,0,1,9,9,2,東,2
4,3,1,0,1,9,9,0,東,0
13,14,1,0,2,2,2,0,東,3
4,5,1,0,2,2,2,2,東,0
29,17,1,0,1,3,3,2,東,7
8,10,1,0,2,2,2,1,東,0
8,9,1,0,2,2,2,1,東,0
2,29,1,0,1,2,2,2,東,0
28,8,1,0,1,2,2,2,東,2
29,13,1,0,1,2,2,2,東,13
7,12,1,0,1,2,2,2,東,6
28,3,1,0,1,3,2,2,東,7
14,13,1,0,1,1,1,1,東,0
2,7,1,0,1,9,9,1,東,6
4,5,1,0,3,9,3,1,東,0
21,16,1,0,2,2,2,2,東,5
1,4,1,0,1,1,2,1,東,1
5,3,1,0,1,1,2,1,東,7
6,11,1,0,1,1,2,1,東,0
1,5,1,0,1,1,2,1,東,0
5,16,1,0,1,2,2,1,東,3
15,8,1,0,1,1,3,1,東,13
1,5,1,0,1,1,3,1,東,1
2,8,1,0,2,2,9,2,東,3
9,15,1,0,1,1,1,3,東,0
13,14,1,0,1,9,9,3,東,0
5,16,1,0,1,3,3,2,東,9
1,5,1,0,2,3,3,2,東,2
6,1,1,0,2,2,2,1,東,0
34,1,1,0,2,2,2,1,東,0
5,1,1,0,2,2,2,1,東,1
14,17,1,0,1,1,2,2,東,8
6,6,1,0,1,1,2,2,東,0
14,8,1,0,1,1,1,1,東,6
13,8,1,0,1,1,1,1,東,7
14,5,1,0,2,2,2,1,東,0
4,12,1,0,1,1,1,2,東,0
1,13,1,0,1,1,1,3,東,0
7,28,1,0,3,3,3,1,東,1
22,21,1,0,1,3,1,2,東,6
15,4,1,0,2,2,2,1,東,1
5,35,1,0,1,1,1,2,東,9
15,35,1,0,1,1,1,2,東,0
9,7,1,0,1,1,9,1,東,2
6,4,1,0,1,9,1,2,東,1
3,16,1,0,2,9,9,1,東,0
4,6,1,0,2,9,9,1,東,0
4,12,1,0,2,2,3,1,東,0
3,6,1,0,2,2,2,2,東,0
12,5,1,0,3,3,3,2,東,0
7,11,1,0,1,2,2,0,東,5
7,13,1,0,1,1,1,3,東,0
16,17,1,0,1,1,1,3,東,3
5,5,1,0,2,2,2,1,東,5
9,2,1,0,2,2,2,2,東,15
9,4,1,0,2,2,2,1,東,0
7,6,1,0,2,2,2,1,東,1
15,3,1,0,2,2,2,3,東,3
13,14,1,0,1,1,2,3,東,26
15,16,1,0,1,1,9,1,東,5
13,13,1,0,1,1,1,1,東,17
6,10,1,0,1,1,1,1,東,7
2,13,1,0,1,1,1,1,東,0
2,5,1,0,2,1,1,1,東,0
0,2,1,0,2,3,3,2,東,1
3,3,1,0,3,3,3,0,東,11
12,6,1,0,1,1,1,2,東,3
13,3,1,0,2,2,2,1,東,12
6,2,1,0,9,9,9,0,東,4
2,4,1,0,2,2,2,1,東,4
14,5,1,0,1,9,9,0,東,12
15,8,1,0,1,9,9,0,東,6
8,7,1,0,1,1,1,1,東,1
8,12,1,0,1,1,2,2,東,6
22,18,1,0,2,2,2,1,東,3
2,5,1,0,9,9,9,1,東,0
5,13,1,0,2,2,2,1,東,0
6,2,1,0,3,1,2,2,東,0
4,13,1,0,9,9,9,0,東,2
4,16,1,0,1,1,2,1,東,0
30,8,1,0,2,2,2,1,東,5
13,18,1,0,2,9,2,1,東,2
14,18,1,0,2,3,3,0,東,4
15,10,1,0,2,3,3,0,東,0
13,18,1,0,2,3,3,0,東,7
8,6,1,0,9,9,9,0,東,1
7,14,1,0,1,1,9,2,東,0
9,10,1,0,1,1,2,2,東,8
9,10,1,0,1,1,2,2,東,6
3,17,1,0,1,1,9,2,東,0
17,2,1,0,9,9,9,0,東,8
0,7,1,0,9,9,9,0,東,5
0,3,1,0,9,9,9,0,東,0
30,2,1,0,1,1,1,2,東,3
29,10,1,0,1,1,1,3,東,2
2,3,1,0,1,9,1,2,東,0
14,4,1,0,1,2,2,1,東,11
4,4,1,0,1,2,2,1,東,0
5,16,1,0,1,1,1,3,東,8
2,12,1,0,1,1,1,2,東,0
6,17,1,0,1,1,1,2,東,2
3,17,1,0,1,1,1,2,東,3
28,6,1,0,1,1,9,1,東,9
88,10,1,0,1,1,9,1,東,6
45,4,1,0,3,3,3,1,東,5
3,5,1,0,1,1,1,1,東,0
13,1,1,0,9,9,9,0,東,2
13,3,1,0,1,1,1,3,東,0
23,13,1,0,2,9,9,1,東,0
13,14,1,0,2,9,9,1,東,0
17,10,1,0,2,9,9,1,東,0
14,9,1,0,2,9,9,1,東,0
2,4,1,0,2,2,2,1,東,1
0,5,1,0,2,2,9,2,東,0
3,3,1,0,2,2,9,2,東,0
3,2,1,0,2,2,3,2,東,0
4,23,1,0,1,1,2,1,東,6
1,10,1,0,1,2,2,3,東,0
24,11,1,0,1,2,2,1,東,7
6,8,1,0,3,3,9,1,東,0
6,7,1,0,3,9,9,1,東,0
7,1,1,0,3,3,3,1,東,0
8,3,1,0,2,9,9,1,東,0
6,8,1,0,1,1,9,1,東,0
5,6,1,0,2,2,2,1,東,0
2,9,1,0,3,1,2,0,東,7
7,6,1,0,1,1,1,1,東,1
19,20,1,0,2,2,2,3,東,6
14,16,1,0,3,1,2,1,東,12
14,14,1,0,3,1,2,1,東,15
15,3,1,0,9,9,9,1,東,0
5,4,1,0,1,1,1,1,東,4
0,5,1,0,2,2,9,1,東,0
3,11,1,0,2,2,9,1,東,0
3,9,1,0,9,9,9,0,東,0
14,19,1,0,2,2,2,2,東,3
4,14,1,0,1,1,2,2,東,1
15,7,1,0,1,1,1,2,東,0
8,9,1,0,1,1,1,3,東,4
9,7,1,0,1,1,2,1,東,8
29,3,1,0,1,1,2,1,東,1
14,4,1,0,1,1,2,1,東,0
3,2,1,0,1,1,2,1,東,0
13,7,1,0,1,1,2,1,東,3
0,1,1,0,2,9,2,1,東,0
7,7,1,0,2,2,2,3,東,1
10,5,1,0,2,2,2,3,東,2
59,17,1,0,2,2,2,3,東,5
7,19,1,0,2,2,2,3,東,5
1,17,1,0,2,2,9,3,東,0
1,11,1,0,2,2,9,3,東,0
9,19,1,0,3,3,3,1,東,3
4,3,1,0,2,2,1,1,東,0
5,7,1,0,2,2,3,2,東,10
2,9,1,0,2,2,2,1,東,0
9,3,1,0,3,2,1,2,東,2
13,7,1,0,2,1,2,2,東,14
5,5,1,0,2,1,2,1,東,4
6,8,1,0,1,9,9,1,東,9
12,6,1,0,3,3,3,1,東,1
3,6,1,0,1,9,1,1,東,0
6,10,1,0,1,1,1,1,東,8
6,10,1,0,2,2,2,0,東,0
3,5,1,0,9,9,9,0,東,0
5,5,1,0,2,2,2,1,東,5
3,6,1,0,1,9,9,1,東,0
3,6,1,0,1,9,9,1,東,0
29,13,1,0,1,2,2,3,東,15
14,10,1,0,2,2,2,2,東,7
7,3,1,0,2,2,2,3,東,9
13,17,1,0,3,3,3,2,東,12
28,9,1,0,2,2,2,1,東,0
29,11,1,0,3,3,3,1,東,0
2,9,1,0,2,2,3,1,東,0
14,17,1,0,1,1,1,1,東,15
5,11,1,0,2,2,2,1,東,4
6,11,1,0,9,1,9,1,東,2
2,9,1,0,1,3,3,1,東,0
4,5,1,0,1,1,3,2,東,7
15,13,1,0,3,3,3,2,東,16
6,6,1,0,3,3,3,1,東,0
5,8,1,0,9,9,9,1,東,0
11,11,1,0,1,1,3,1,東,6
6,13,1,0,1,3,3,1,東,2
3,7,1,0,3,3,3,2,東,0
5,9,1,0,2,2,3,1,東,0
15,13,1,0,1,2,3,3,東,1
11,12,1,0,2,2,2,0,東,0
15,7,1,0,2,2,2,0,東,3
15,11,1,0,2,2,2,0,東,5
11,11,1,0,2,2,2,0,東,3
23,11,1,0,2,2,2,0,東,5
7,10,1,0,2,2,2,0,東,2
9,9,1,0,2,2,2,0,東,0
2,2,1,0,2,2,2,1,東,4
2,8,1,0,1,1,1,2,東,0
7,11,1,0,2,1,2,1,東,6
9,9,1,0,1,1,2,1,東,12
1,2,1,0,9,9,9,0,東,2
3,1,1,0,2,2,2,1,東,1
4,2,1,0,3,3,3,0,東,0
22,7,1,0,2,2,3,1,東,6
5,11,1,0,9,9,9,1,東,9
28,17,1,0,1,1,2,3,東,10
4,12,1,0,1,1,2,2,東,3
2,5,1,0,1,1,2,2,東,0
2,4,1,0,1,1,3,2,東,2
4,8,1,0,1,1,2,1,東,4
2,9,1,0,1,1,2,1,東,0
3,2,1,0,2,9,9,1,東,0
2,2,1,0,2,9,9,1,東,0
2,1,1,0,2,9,9,1,東,0
5,7,1,0,2,9,9,1,東,0
6,6,1,0,9,9,9,0,東,3
2,4,1,0,1,9,3,2,東,0
1,4,1,0,1,9,3,2,東,0
1,4,1,0,1,9,3,2,東,0
12,4,1,0,1,9,3,1,東,3
6,3,1,0,1,1,1,1,東,0
14,7,1,0,1,1,2,1,東,5
8,5,1,0,1,3,3,1,東,1
14,16,1,0,1,1,9,1,東,4
14,5,1,0,1,1,9,1,東,0
15,6,1,0,1,1,9,0,東,0
1,14,1,0,1,1,1,1,東,0
2,23,1,0,9,9,9,2,東,0
5,8,1,0,3,1,1,1,東,1
29,15,1,0,2,3,3,2,東,6
14,3,1,0,2,3,3,1,東,4
8,19,1,0,1,1,1,1,東,10
10,11,1,0,2,2,2,1,東,18
7,7,1,0,2,2,2,1,東,0
2,4,1,0,9,9,9,0,東,0
9,9,1,0,3,3,3,2,東,3
9,11,1,0,2,2,2,1,東,12
9,10,1,0,2,2,2,1,東,5
15,10,1,0,3,3,3,2,東,3
15,11,1,0,3,3,3,2,東,0
4,9,1,0,1,1,2,3,東,1
5,23,1,0,1,1,2,3,東,1
0,4,1,0,2,2,2,1,東,4
60,15,1,0,2,2,2,1,東,3
0,9,1,0,2,2,2,1,東,1
9,1,1,0,2,2,9,1,東,5
2,1,1,0,9,2,9,1,東,1
3,2,1,0,9,2,9,1,東,2
13,16,1,0,3,3,3,0,東,11
6,4,1,0,3,3,3,0,東,1
9,4,1,0,3,3,3,0,東,14
7,14,1,0,3,3,3,0,東,1
12,6,1,0,1,1,2,2,東,5
14,7,1,0,1,1,2,1,東,3
6,18,1,0,1,1,2,2,東,0
60,14,1,0,1,1,1,3,東,7
3,7,1,0,3,1,1,2,東,2
1,9,1,0,3,1,2,1,東,0
3,9,1,0,1,1,1,2,東,0
1,9,1,0,1,1,1,2,東,0
12,17,1,0,1,1,1,1,東,3
6,13,1,0,9,9,3,1,東,3
4,5,1,0,2,2,2,1,東,2
13,5,1,0,9,9,9,0,東,0
1,10,1,0,1,1,1,3,東,1
28,13,1,0,2,2,3,1,東,2
0,2,1,0,9,9,9,0,東,1
2,12,1,0,1,2,1,1,東,2
2,5,1,0,3,3,3,0,東,0
8,7,1,0,1,1,1,1,東,3
5,17,1,0,2,2,9,2,東,0
5,8,1,0,2,2,9,2,東,1
29,3,1,0,3,2,3,2,東,0
30,17,1,0,3,3,3,2,東,4
3,17,1,0,2,3,3,1,東,0
14,12,1,0,2,2,2,1,東,12
13,5,1,0,9,9,9,1,東,4
2,11,1,0,1,1,9,3,東,1
3,3,1,0,1,1,1,3,東,0
2,4,1,0,1,1,1,3,東,0
10,11,1,0,2,2,1,1,東,0
9,8,1,0,1,1,2,2,東,8
3,10,1,0,1,1,2,1,東,0
1,7,1,0,2,2,2,1,東,0
3,7,1,0,2,2,2,1,東,0
17,4,1,0,2,9,9,2,東,2
0,4,1,0,9,9,9,0,東,2
6,12,1,0,2,2,2,1,東,0
0,10,1,0,2,2,2,1,東,0
9,13,1,0,2,2,2,1,東,19
4,9,1,0,2,2,2,1,東,0
13,11,1,0,2,2,2,1,東,4
4,10,1,0,1,1,1,1,東,5
5,9,1,0,1,1,3,1,東,1
5,7,1,0,1,1,2,2,東,3
13,12,1,0,1,1,9,1,東,0
8,9,1,0,2,9,9,1,西,0
7,7,1,0,1,2,1,1,西,9
12,16,1,0,1,1,1,2,西,8
4,13,1,0,1,1,2,1,西,0
10,14,1,0,1,1,2,2,西,6
8,10,1,0,1,1,2,1,西,7
8,16,1,0,9,9,1,2,西,3
13,9,1,0,2,2,1,2,西,5
9,9,1,0,2,2,1,2,西,6
14,6,1,0,2,2,1,2,西,2
13,8,1,0,9,9,1,2,西,4
7,6,1,0,2,2,1,2,西,0
14,8,1,0,2,2,1,2,西,11
0,7,1,0,9,9,9,0,西,0
18,3,1,0,1,3,3,1,西,7
30,7,1,0,1,1,3,2,西,14
5,8,1,0,2,2,2,1,西,0
0,9,1,0,1,1,9,1,西,1
10,5,1,0,2,2,2,1,西,16
0,1,1,0,9,9,9,0,西,0
1,3,1,0,3,2,3,3,西,0
12,14,1,0,1,1,1,0,西,11
14,7,1,0,1,1,2,1,西,0
18,18,1,0,1,1,2,2,西,6
6,8,1,0,1,1,1,2,西,11
12,9,1,0,1,1,1,2,西,14
14,8,1,0,2,2,2,0,西,0
15,8,1,0,3,3,3,0,西,3
60,12,1,0,3,3,3,0,西,1
3,8,1,0,1,1,1,0,西,7
6,6,1,0,2,2,2,0,西,12
3,6,1,0,2,2,2,0,西,0
12,6,1,0,2,2,2,0,西,9
11,7,1,0,1,1,1,1,西,13
13,1,1,0,9,9,9,0,西,1
9,17,1,0,1,1,1,3,西,1
15,7,1,0,2,2,2,2,西,0
23,8,1,0,2,2,2,2,西,0
59,7,1,0,2,2,2,2,西,2
28,5,1,0,2,2,2,0,西,2
5,9,1,0,9,9,9,0,西,1
3,9,1,0,2,2,2,1,西,6
1,4,1,0,3,3,3,1,西,0
2,7,1,0,2,2,2,2,西,0
7,8,1,0,1,1,1,3,西,7
7,8,1,0,1,1,1,3,西,0
3,8,1,0,1,1,1,3,西,0
15,8,1,0,1,1,1,3,西,0
2,8,1,0,1,1,1,3,西,0
7,9,1,0,2,1,1,3,西,0
3,2,1,0,9,9,9,0,西,4
8,8,1,0,2,2,2,2,西,4
15,1,1,0,2,2,2,0,西,0
14,1,1,0,2,2,2,0,西,0
0,2,1,0,2,2,2,0,西,0
10,4,1,0,2,2,2,0,西,0
9,7,1,0,2,2,2,0,西,0
6,5,1,0,2,2,9,1,西,8
14,7,1,0,2,2,2,1,西,13
13,7,1,0,2,2,2,1,西,4
7,12,1,0,2,2,2,1,西,6
8,14,1,0,2,2,2,2,西,4
6,13,1,0,2,2,9,2,西,2
0,4,1,0,9,9,9,0,西,0
0,3,1,0,9,9,9,0,西,0
13,5,1,0,2,2,2,1,西,6
8,6,1,0,1,1,3,3,西,9
2,10,1,0,1,1,3,2,西,4
4,6,1,0,2,2,2,1,西,2
4,2,1,0,9,9,9,0,西,0
29,5,1,0,3,3,3,1,西,12
10,6,1,0,9,9,9,0,西,6
3,6,1,0,2,2,2,1,西,3
4,15,1,0,2,2,3,1,西,4
5,11,1,0,1,1,1,1,西,6
13,12,1,0,9,9,9,3,西,4
6,13,1,0,9,9,9,3,西,1
0,14,1,0,9,9,9,3,西,5
5,11,1,0,9,9,9,3,西,1
0,11,1,0,9,9,9,3,西,0
0,11,1,0,9,9,9,3,西,0
5,14,1,0,2,2,2,3,西,5
30,9,1,0,1,1,3,0,西,6
9,4,1,0,2,2,2,0,西,1
5,4,1,0,2,2,2,0,西,6
4,4,1,0,1,1,1,2,西,3
24,4,1,0,1,1,1,2,西,2
9,4,1,0,1,1,1,1,西,0
2,4,1,0,1,1,1,1,西,1
13,6,1,0,1,1,1,2,西,6
7,5,1,0,2,2,2,1,西,10
2,6,1,0,1,1,9,0,西,0
9,9,1,0,3,3,3,1,西,7
4,3,1,0,3,3,3,1,西,6
6,3,1,0,1,1,1,1,西,4
4,10,1,0,1,1,1,2,西,11
5,3,1,0,2,2,2,1,西,1
8,2,1,0,9,9,9,0,西,0
6,9,1,0,1,1,1,0,西,10
11,16,1,0,1,1,1,1,西,15
13,10,1,0,2,2,2,1,西,10
0,6,1,0,1,1,2,2,西,1
7,1,1,0,2,2,2,1,西,0
6,6,1,0,2,2,2,1,西,0
18,16,1,0,2,2,3,1,西,12
12,5,1,0,1,3,3,1,西,1
6,10,1,0,2,2,2,1,西,0
28,7,1,0,1,1,2,1,西,7
4,19,1,0,1,3,3,1,西,13
3,3,1,0,3,3,3,1,西,3
4,7,1,0,3,3,3,1,西,7
3,15,1,0,1,1,3,2,西,0
7,14,1,0,2,2,2,1,西,5
8,6,1,0,2,2,2,2,西,9
30,11,1,0,1,1,1,3,西,31
19,5,1,0,1,1,2,1,西,3
15,6,1,0,1,1,2,1,西,15
29,8,1,0,1,1,2,1,西,11
28,4,1,0,1,1,2,1,西,10
0,16,1,0,1,1,1,3,西,3
0,14,1,0,1,1,1,3,西,3
5,5,1,0,2,2,2,1,西,2
5,10,1,0,9,9,9,1,西,0
2,1,1,0,1,9,9,1,西,0
7,3,1,0,2,2,2,1,西,11
13,8,1,0,1,1,1,2,西,13
4,5,1,0,1,1,1,1,西,4
8,8,1,0,3,2,2,3,西,6
6,3,1,0,9,9,9,1,西,6
7,16,1,0,1,1,2,3,西,3
15,17,1,0,1,1,2,3,西,10
9,19,1,0,1,1,3,1,西,0
14,15,1,0,1,1,1,3,西,6
1,7,1,0,3,3,3,0,西,0
3,4,1,0,1,1,1,0,西,3
12,1,1,0,9,9,9,0,西,2
4,6,1,0,2,1,2,3,西,10
5,8,1,0,2,2,2,1,西,1
11,3,1,0,1,1,9,1,西,0
6,3,1,0,1,2,2,1,西,3
6,8,1,0,1,1,1,1,西,0
6,9,1,0,1,1,1,3,西,10
7,7,1,0,2,2,3,1,西,0
149,12,1,0,2,2,2,2,西,13
9,12,1,0,2,2,2,1,西,0
13,14,1,0,2,2,2,1,西,6
0,10,1,0,2,2,2,1,西,9
0,11,1,0,2,2,2,1,西,9
0,9,1,0,2,2,2,1,西,4
10,12,1,0,3,3,3,0,西,0
28,12,1,0,1,3,3,2,西,7
9,12,1,0,1,1,2,0,西,7
9,12,1,0,1,1,2,0,西,5
22,7,1,0,3,3,3,2,西,6
5,7,1,0,2,2,2,2,西,12
15,2,1,0,3,3,3,1,西,1
0,1,1,0,9,9,9,0,西,0
3,8,1,0,1,1,3,1,西,0
4,12,1,0,1,1,1,1,西,4
6,16,1,0,1,1,1,1,西,6
1,2,1,0,9,9,9,0,西,0
4,6,1,0,1,1,2,0,西,0
13,5,1,0,1,1,2,2,西,7
1,2,1,0,9,9,9,1,西,0
15,6,1,0,2,2,2,3,西,2
1,4,1,0,2,2,9,1,西,0
14,11,1,0,1,1,2,1,西,0
13,11,1,0,1,1,2,1,西,0
6,10,1,0,1,1,1,1,西,6
6,8,1,0,1,2,2,1,西,6
5,6,1,0,1,2,2,1,西,4
7,21,1,0,1,1,1,1,西,12
5,11,1,0,1,1,1,1,西,13
3,5,1,0,1,1,2,1,西,0
20,10,1,0,1,1,1,1,西,3
0,9,1,0,3,3,3,0,西,0
2,17,1,0,3,3,3,0,西,0
5,3,1,0,1,2,2,1,西,0
14,11,1,0,1,2,2,1,西,12
7,14,1,0,2,2,2,0,西,5
0,1,1,0,9,9,9,0,西,1
1,8,1,0,1,1,2,0,西,0
2,8,1,0,1,1,2,0,西,0
5,18,1,0,2,2,2,2,西,0
10,11,1,0,1,1,1,1,西,7
9,9,1,0,1,1,1,1,西,3
7,2,1,0,3,3,3,2,西,2
2,6,1,0,1,1,9,1,西,2
5,9,1,0,2,2,2,1,西,1
0,9,1,0,1,9,2,1,西,0
30,4,1,0,2,2,2,1,西,11
0,15,1,0,3,3,3,1,西,4
29,8,1,0,2,2,2,1,西,11
0,2,1,0,9,9,9,0,西,0
17,16,1,0,2,2,2,3,西,4
14,16,1,0,2,2,2,3,西,3
6,15,1,0,2,2,2,3,西,7
9,15,1,0,2,2,2,3,西,7
14,1,1,0,9,9,9,0,西,0
2,9,1,0,1,1,3,1,西,0
13,9,1,0,2,2,2,3,西,21
4,6,1,0,9,9,9,0,西,0
6,4,1,0,1,1,2,1,西,0
9,20,1,0,9,1,1,1,西,11
15,14,1,0,3,3,2,2,西,0
12,4,1,0,3,3,2,2,西,2
4,6,1,0,2,2,2,1,西,4
15,10,1,0,1,1,1,1,西,3
13,12,1,0,2,2,2,3,西,6
13,12,1,0,1,1,2,0,西,13
6,20,1,0,1,1,2,2,西,6
13,11,1,0,1,1,1,1,西,9
0,3,1,0,1,1,9,1,西,0
4,4,1,0,1,1,9,0,西,0
1,3,1,0,1,1,1,1,西,0
11,1,1,0,1,1,2,2,西,15
29,1,1,0,2,3,3,1,西,14
2,8,1,0,1,1,1,1,西,0
2,4,1,0,1,9,9,1,西,0
14,5,1,0,1,9,1,1,西,0
2,3,1,0,1,9,9,1,西,0
5,2,1,0,9,9,9,0,西,0
15,6,1,0,3,3,3,0,西,6
15,2,1,0,9,9,9,0,西,3
4,5,1,0,9,9,9,0,西,3
6,5,1,0,3,3,3,0,西,4
13,16,1,0,3,3,3,0,西,4
14,4,1,0,2,2,2,1,西,4
19,4,1,0,2,2,2,1,西,3
2,4,1,0,9,1,2,1,西,7
2,7,1,0,2,2,2,0,西,0
8,4,1,0,2,2,2,1,西,0
3,7,1,0,1,1,3,1,西,2
5,13,1,0,1,1,1,0,西,1
2,7,1,0,1,1,9,1,西,0
13,7,1,0,2,2,9,2,西,15
3,4,1,0,1,1,1,1,西,0
5,15,1,0,1,1,3,1,西,0
8,10,1,0,2,2,2,0,西,2
14,15,1,0,2,2,2,1,西,6
7,2,1,0,2,2,2,1,西,8
9,4,1,0,2,2,2,1,西,0
1,4,1,0,2,3,2,1,西,0
13,8,1,0,2,2,2,2,西,0
28,10,1,0,2,2,2,1,西,2
9,3,1,0,2,2,2,1,西,1
13,14,1,0,1,2,2,1,西,3
9,10,1,0,2,3,2,1,西,0
15,10,1,0,2,3,2,1,西,0
6,12,1,0,2,2,2,1,西,0
6,6,1,0,3,3,3,0,西,5
6,6,1,0,3,3,3,0,西,6
5,10,1,0,3,3,3,1,西,3
6,6,1,0,3,3,3,1,西,4
7,2,1,0,9,9,9,1,西,0
7,7,1,0,1,1,1,2,西,2
0,1,1,0,9,9,9,0,西,2
2,8,1,0,2,1,1,1,西,4
14,8,1,0,2,2,2,1,西,23
9,12,1,0,1,1,1,1,西,4
1,14,1,0,9,9,9,0,西,0
5,8,1,0,1,1,1,1,西,10
5,10,1,0,1,1,1,1,西,2
17,13,1,0,2,2,2,1,西,0
5,5,1,0,1,1,1,1,西,4
1,3,1,0,3,2,2,1,西,0
60,12,1,0,1,2,2,2,西,1
9,10,1,0,1,2,2,2,西,0
2,10,1,0,1,1,1,0,西,1
30,10,1,0,2,2,2,1,西,0
5,5,1,0,3,3,3,0,西,2
6,8,1,0,1,1,1,2,西,5
17,10,1,0,2,2,2,1,西,17
7,12,1,0,2,2,2,1,西,9
5,14,1,0,2,2,3,3,西,3
2,7,1,0,1,1,2,1,西,6
17,13,1,0,1,1,3,1,西,0
1,8,1,0,3,3,3,1,西,0
0,1,1,0,9,9,9,0,西,0
0,2,1,0,9,9,9,0,西,0
0,20,1,0,2,2,2,3,西,1
0,20,1,0,2,2,2,3,西,1
3,1,1,0,3,3,3,0,西,0
8,1,1,0,3,3,3,0,西,0
14,3,1,0,2,2,2,1,西,8
15,12,1,0,3,3,3,0,西,8
1,3,1,0,1,1,2,1,西,0
